Source,Target,Weights
k,a,2688
i,e,2425
n,i,2400
c,z,1883
s,t,1875
n,a,1774
r,z,1751
k,o,1720
a,r,1670
e,r,1653
s,z,1620
p,o,1609
w,y,1603
r,o,1596
o,w,1576
z,a,1570
r,a,1566
i,a,1546
a,n,1430
z,y,1401
n,y,1392
t,a,1389
w,i,1281
o,r,1256
e,k,1245
o,n,1217
l,i,1155
a,l,1145
w,a,1135
z,e,1128
p,r,1125
o,d,1096
k,i,1084
m,a,1081
c,h,1056
j,a,1035
t,r,1027
e,n,1023
m,i,1009
s,k,1009
a,t,994
t,e,990
n,o,987
t,y,978
c,i,967
a,ć,946
l,e,906
t,o,891
l,a,868
o,s,852
r,y,819
p,i,817
o,l,797
k,r,796
i,n,792
r,e,787
a,s,775
a,k,775
ł,o,774
a,d,763
d,o,763
e,l,762
o,t,754
n,t,734
b,i,729
d,z,719
b,a,711
p,a,708
w,o,706
c,a,699
d,a,688
d,e,674
i,k,665
s,i,663
u,r,656
o,m,654
y,k,639
l,o,634
z,i,632
e,s,632
m,o,631
g,a,629
i,o,625
a,m,623
e,t,616
o,b,607
e,c,606
ł,a,603
o,k,587
o,z,577
o,p,575
o,g,568
a,w,563
a,c,562
a,j,561
i,s,555
e,d,549
i,ę,538
u,s,535
i,c,521
p,e,517
r,u,514
a,ł,511
s,p,508
b,r,505
m,e,491
o,ś,490
d,y,489
y,s,475
z,n,471
s,y,466
y,n,459
z,o,449
ł,y,444
d,r,444
u,t,438
i,ć,436
r,ó,436
f,i,434
n,e,427
e,m,426
g,r,424
y,c,414
u,m,414
g,o,412
b,o,410
a,b,409
s,a,407
z,m,406
b,e,403
e,g,400
ó,w,398
y,t,396
k,s,395
ś,ć,394
c,y,393
k,u,392
j,e,384
s,o,380
z,k,380
c,e,377
t,u,375
c,j,372
w,n,371
i,z,369
s,e,366
a,g,366
a,p,356
o,c,356
e,j,355
k,t,354
e,z,353
y,w,347
e,w,346
b,u,344
u,l,341
s,ł,340
a,z,338
i,t,333
n,k,333
l,u,333
g,i,324
u,k,322
t,w,313
r,n,312
h,o,311
t,k,308
ż,y,307
w,e,306
p,u,301
i,l,298
u,n,297
o,ł,295
d,i,295
y,m,293
p,l,290
d,n,290
i,w,282
r,k,282
f,a,275
m,u,273
ł,u,273
z,d,273
l,n,272
w,s,271
u,d,270
n,d,267
y,ć,267
i,m,264
e,p,264
r,t,261
z,u,258
f,o,258
a,u,256
a,ż,255
a,f,253
ó,ł,253
i,d,246
h,i,245
e,b,241
u,c,241
s,u,240
ś,c,240
z,w,236
y,d,234
h,a,233
k,l,230
m,y,229
y,j,229
ż,e,227
r,d,226
ó,r,226
w,ać,225
t,n,224
o,j,223
e,ć,223
r,s,222
g,ł,221
a,?,220
n,s,220
k,w,218
r,w,215
e,ł,212
r,m,209
u,p,209
w,k,208
j,s,207
ę,t,205
ś,l,205
o,ż,204
r,c,202
p,s,202
i,g,201
r,i,200
r,ę,198
g,e,197
l,ny,194
n,u,192
g,n,191
ą,ć,191
i,ą,190
k,ł,189
p,ó,189
d,w,189
m,p,187
u,ł,187
ą,d,187
ż,a,186
y,l,184
u,b,184
o,f,183
y,p,180
i,r,179
b,l,179
g,u,177
a,ń,176
ni,e,175
p,ł,174
j,o,174
ę,d,172
i,u,171
z,b,168
ę,c,168
h,e,167
u,z,165
a,ny,162
y,b,161
c,k,160
c,o,160
z,ę,159
s,m,158
y,g,158
cz,y,158
g,l,156
d,ł,153
d,u,153
y,z,152
f,r,152
?,s,151
e,a,147
ą,c,147
p,t,146
z,c,146
m,b,145
s,ta,145
e,ń,145
i,j,144
ę,k,144
t,ka,142
ó,d,142
n,g,140
ó,j,140
f,e,139
o,ny,137
n,ka,136
t,ę,136
ż,n,135
e,ś,135
