Source,Target,Weights
n,i,98
r,z,94
o,w,81
c,z,77
n,y,75
k,a,75
k,o,73
r,a,67
i,e,67
s,z,63
a,ć,57
n,a,57
e,r,56
w,y,56
o,t,54
o,r,52
w,a,52
r,o,51
ó,w,51
o,n,50
p,o,49
z,y,49
t,a,44
o,d,44
z,a,44
r,u,43
z,n,43
w,i,43
z,e,42
b,o,42
i,a,41
a,r,40
a,j,38
a,l,38
s,k,38
s,t,35
t,y,34
a,k,34
i,ć,34
i,c,34
e,j,34
t,r,33
m,i,33
s,y,32
p,e,31
k,r,31
p,r,30
o,k,30
j,a,30
w,n,30
t,e,29
a,d,29
a,n,29
n,o,29
y,t,28
e,s,28
c,i,28
b,u,28
g,o,28
f,i,28
a,c,27
l,i,27
t,n,26
o,s,26
k,i,26
u,t,26
u,s,26
o,b,25
d,o,25
y,k,25
s,a,25
w,k,25
b,r,25
o,ł,24
y,ć,24
c,h,24
a,s,23
d,a,23
z,k,22
e,t,22
e,ć,22
e,d,21
r,s,20
r,y,20
a,t,20
n,ą,20
y,w,20
ą,ć,20
e,k,20
h,o,20
ł,y,20
t,u,19
t,o,19
o,l,19
d,z,19
k,t,19
m,a,19
i,z,19
c,a,19
ł,a,19
a,ż,18
n,k,18
i,s,18
l,o,18
u,l,18
b,a,18
p,a,17
a,b,17
y,s,17
j,o,17
i,ę,17
u,r,17
u,c,17
b,y,17
g,r,17
g,ó,17
ń,s,17
r,e,16
z,o,16
z,b,16
a,ł,16
y,c,16
y,n,16
s,n,16
f,a,16
o,z,15
r,ó,15
d,y,15
y,m,15
ś,n,15
ś,w,15
M,a,15
a,f,14
y,r,14
j,szy,14
k,s,14
j,s,13
ż,n,13
naj,p,12
s,i,12
a,w,11
j,n,11
i,o,11
l,n,11
p,i,10
p,ł,10
t,ę,10
o,g,10
o,j,10
r,m,10
r,i,10
z,c,10
z,m,10
a,g,10
d,p,10
d,ż,10
n,e,10
y,l,10
j,e,10
s,e,10
s,j,10
sz,y,10
k,n,10
k,c,10
ą,t,10
m,r,10
i,k,10
i,j,10
i,u,10
ę,c,10
l,niejszy,10
l,g,10
l,e,10
u,d,10
u,m,10
e,g,10
e,a,10
e,ń,10
c,j,10
h,i,10
w,z,10
w,p,10
ś,ć,10
ni,e,10
b,i,10
ó,ź,10
f,o,10
ż,y,10
ż,d,10
p,ó,9
p,l,9
o,f,9
r,t,9
z,ny,9
z,j,9
z,ó,9
a,?,9
a,p,9
a,ń,9
y,j,9
y,g,9
s,p,9
k,b,9
ą,c,9
m,b,9
i,ń,9
ę,k,9
e,ś,9
e,l,9
ł,ą,9
b,s,9
g,a,9
?,b,9
ż,ó,9
o,h,8
z,i,8
z,ą,8
a,m,8
d,n,8
j,sz,8
m,o,8
m,e,8
i,n,8
i,b,8
l,k,8
e,m,8
ł,o,8
ow,y,8
t,ł,7
o,m,7
naj,b,7
naj,w,7
naj,h,7
naj,a,7
z,r,7
z,u,7
d,e,7
n,ie,7
i,p,7
i,l,7
e,n,7
w,ia,7
o,ż,6
d,r,6
d,i,6
n,ia,6
j,r,6
j,niejszy,6
c,o,6
h,a,6
h,n,6
h,w,6
w,o,6
w,niejszy,6
ż,niejszy,6
ź,niejszy,6
p,rz,5
t,k,5
t,er,5
ot,y,5
r,c,5
r,ować,5
r,szy,5
a,o,5
d,s,5
j,p,5
er,z,5
ie,j,5
ia,d,5
ia,t,5
ra,f,5
p,ot,4
o,wa,4
ot,e,4
naj,s,4
r,ot,4
a,wa,4
a,ra,4
d,szy,4
